,Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
2901,36C25021C0136,3600,Empty,Empty,Empty
2902,W912DR23C0059,2100,Empty,Empty,Empty
2903,V259C0001,3600,Empty,Empty,Empty
2904,HSCG3110NPAA543,7008,Empty,Empty,Empty
2905,V689C993,3600,Empty,Empty,Empty
2906,FA441805C0011,5700,Empty,Empty,Empty
2907,FA521508C0016,5700,Empty,Empty,Empty
2908,V756C0100,3600,Empty,Empty,Empty
2909,DOLJ121A21974,1630,Empty,Empty,Empty
2910,INL15PC00241,1422,Empty,Empty,Empty
2911,VA69DC0605,3600,Empty,Empty,Empty
2912,N4008306C4017,1700,Empty,Empty,Empty
2913,VA257C0721,3600,Empty,Empty,Empty
2914,F09CC00141,3300,Empty,Empty,Empty
2915,N6247315C1603,1700,Empty,Empty,Empty
2916,47PL0118C0043,4740,Empty,Empty,Empty
2917,N6945020C0021,1700,Empty,Empty,Empty
2918,FA486120C0024,5700,Empty,Empty,Empty
2919,DTFANM09C00095,6920,Empty,Empty,Empty
2920,N6426723C0024,1700,Empty,Empty,Empty
2921,N6945019C0128,1700,Empty,Empty,Empty
2922,W9115109C0073,2100,Empty,Empty,Empty
2923,GS09P10WJC0012,4740,Empty,Empty,Empty
2924,SGT50012C0007,1900,Empty,Empty,Empty
2925,AG32SCC120019,12H2,Empty,Empty,Empty
2926,HHSF223201210248C,7524,Empty,Empty,Empty
2927,INPC4500060928,1443,Empty,Empty,Empty
2928,GS11P05MKC0057,4740,Empty,Empty,Empty
2929,GS04P07EWC0188,4740,Empty,Empty,Empty
2930,W912CN09C0093,2100,Empty,Empty,Empty
2931,AG3K15C100027,12H2,Empty,Empty,Empty
2932,HHSD200201460941C,7523,Empty,Empty,Empty
2933,W9126G07C0055,2100,0,$0,0%
2934,FA446010C0033,5700,Empty,Empty,Empty
2935,DTFACN13C00222,6920,,,
2936,VA24315C0061,3600,0,$0,0%
2937,VA528C0014,3600,0,$0,0%
2938,N4008507C4398,1700,Empty,Empty,Empty
2939,VA256RA0655,3600,,,
2940,V528C55060,3600,,,
2941,GS04P08EXC0051,4740,,,
2942,N4008518C6720,1700,Empty,Empty,Empty
2943,W912JA07C0007,2100,,,
2944,FA481922C0032,5700,Empty,Empty,Empty
2945,15BNAS20CRCA0010,1540,0,$0,0%
2946,W9124Q06C0290,2100,,,
2947,HHSD200200928867C,7523,0,$0,0%
2948,W91B4M09C7225,2100,0,$0,0%
2949,FA485523C0025,5700,Empty,Empty,Empty
2950,GS00P10CYD0061,4740,0,$0,0%
2951,70B01C18C00000112,7014,,,
2952,19GE5020C0040,1900,0,$0,0%
2953,VA24912C0222,3600,0,$0,0%
2954,GS09P07KZC0021,4740,0,$0,0%
2955,W9124712C0027,2100,0,$0,0%
2956,W91GY309C0020,2100,0,$0,0%
2957,140L1720C0011,1422,,,
2958,GS02P10PWC0003,4740,Empty,Empty,Empty
2959,140P6020C0002,1443,,,
2960,68HERC22C0052,6800,,,
2961,AG32SCC140061,12H2,,,
2962,2032H322C00011,2001,Empty,Empty,Empty
2963,FA480018C0017,5700,Empty,Empty,Empty
2964,VA244C0909,3600,Empty,Empty,Empty
2965,47PM0221C0009,4740,Empty,Empty,Empty
2966,V520C5318ATO9,3600,Empty,Empty,Empty
2967,GS11P01MAC0540,4740,Empty,Empty,Empty
2968,VA69DC00148,3600,Empty,Empty,Empty
2969,FA481920C0051,5700,Empty,Empty,Empty
2970,N6247205C3803,1700,Empty,Empty,Empty
2971,N3319113C1223,1700,Empty,Empty,Empty
2972,HSCG3107N6SA902,7008,0,$0,0%
2973,DOLJ121A21913,1630,Empty,Empty,Empty
2974,GS08P09VJC0002,4740,0,$0,0%
2975,VA25112C0099,3600,0,$0,0%
2976,W912DY14C0021,2100,0,$0,0%
2977,NGA03371HB08,3355,Empty,Empty,Empty
2978,FA440710C0019,5700,Empty,Empty,Empty
2979,36C25919C0206,3600,Empty,Empty,Empty
2980,89233124CNA000382,8900,,,
