,Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
6337,GS09P07WLM0014,4740,Empty,Empty,Empty
6338,INP13PC00367,1443,Empty,Empty,Empty
6339,GS11P15YMC0068,4740,Empty,Empty,Empty
6340,INP17PC00240,1443,Empty,Empty,Empty
6341,19PE5018C0015,1900,Empty,Empty,Empty
6342,2032H322C00012,2001,Empty,Empty,Empty
6343,47PD1022C0001,4740,Empty,Empty,Empty
6344,47PM1124C0004,4740,Empty,Empty,Empty
6345,W912CH09CL521,2100,Empty,Empty,Empty
6346,GS08P13JAC0016,4740,Empty,Empty,Empty
6347,47PM0219C0011,4740,Empty,Empty,Empty
6348,GS05P15SVC0005,4740,Empty,Empty,Empty
6349,GS09P10KZC0017,4740,Empty,Empty,Empty
6350,N4008514C2328,1700,Empty,Empty,Empty
6351,W912JM07C0029,2100,Empty,Empty,Empty
6352,W9124A17C0008,2100,Empty,Empty,Empty
6353,ZG000200304DGS11P03ZGC0184,4740,Empty,Empty,Empty
6354,VA244C0985,3600,Empty,Empty,Empty
6355,W912JB16C8001,2100,Empty,Empty,Empty
6356,GS11P17NWC0046,4740,,,
6357,DOCSB134107CN0034,1341,Empty,Empty,Empty
6358,12SPEC18C0003,12C3,Empty,Empty,Empty
6359,70Z08220CPACP3900,7008,Empty,Empty,Empty
6360,W5J9LE11C0013,2100,Empty,Empty,Empty
6361,N4425516C8011,1700,Empty,Empty,Empty
6362,N6945011C6356,1700,Empty,Empty,Empty
6363,N4008509C7005,1700,Empty,Empty,Empty
6364,N6247308C7511,1700,Empty,Empty,Empty
6365,W912DQ18C1077,2100,,,
6366,W912BV19C0011,2100,Empty,Empty,Empty
6367,FA448804C0051,5700,Empty,Empty,Empty
6368,VA248C0559,3600,Empty,Empty,Empty
6369,VA257C0242,3600,Empty,Empty,Empty
6370,V520C5338A,3600,Empty,Empty,Empty
6371,N6945013C6827,1700,Empty,Empty,Empty
6372,70LGLY23CSSB00004,7015,,,
6373,W912CH09CL504,2100,0,$0,0%
6374,VA24816C0202,3600,Empty,Empty,Empty
6375,W911WN23C8001,2100,,,
