Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
LC000200307DGS04P03LCC0047,4740,Empty,Empty,Empty
FA466105C0015,5700,Empty,Empty,Empty
FA488713C0028,5700,Empty,Empty,Empty
FA449712C0002,5700,Empty,Empty,Empty
47PD0118C0001,4740,Empty,Empty,Empty
W9126G20C0055,2100,Empty,Empty,Empty
FA810117C0021,5700,Empty,Empty,Empty
7MN1200305D507MN130200,12H2,Empty,Empty,Empty
36E77620C0071,3600,Empty,Empty,Empty
VA248C1175,3600,Empty,Empty,Empty
FA301620C0101,5700,Empty,Empty,Empty
W912QR07C0018,2100,Empty,Empty,Empty
N4008517C4607,1700,Empty,Empty,Empty
N6247704C0524,1700,Empty,Empty,Empty
N3654A08C9007,1700,Empty,Empty,Empty
FA281607C0028,5700,Empty,Empty,Empty
FA820107C0101,5700,Empty,Empty,Empty
FA252108C0026,5700,Empty,Empty,Empty
INP16PC00599,1443,Empty,Empty,Empty
W912DR09C0036,2100,Empty,Empty,Empty
VA24312C0155,3600,Empty,Empty,Empty
N6247307C1223,1700,Empty,Empty,Empty
VA261C0436,3600,Empty,Empty,Empty
N4008018C3006,1700,Empty,Empty,Empty
W91B4N10C8113,2100,Empty,Empty,Empty
GS09P10WJC0025,4740,Empty,Empty,Empty
AG32SDC150058,12H2,Empty,Empty,Empty
47PM0417C0036,4740,Empty,Empty,Empty
GS05P16SCC7029,4740,Empty,Empty,Empty
FA813722C0009,5700,Empty,Empty,Empty
N4008514C6824,1700,Empty,Empty,Empty
N4008017C3526,1700,Empty,Empty,Empty
W912BV07C2014,2100,Empty,Empty,Empty
47PF0018C0083,4740,Empty,Empty,Empty
N6247319C0609,1700,Empty,Empty,Empty
VA255C0813,3600,Empty,Empty,Empty
N6945020C0017,1700,Empty,Empty,Empty
W9124A20C0007,2100,Empty,Empty,Empty
0536CW10355,3300,Empty,Empty,Empty
FA460817C0007,5700,Empty,Empty,Empty
W9124V15C0006,2100,Empty,Empty,Empty
36C77624C0097,3600,Empty,Empty,Empty
N4008012C0007,1700,Empty,Empty,Empty
W9127S11C6026,2100,Empty,Empty,Empty
GS09P17WCC0002,4740,Empty,Empty,Empty
47PK1919C0011,4740,Empty,Empty,Empty
W912CN14C0010,2100,Empty,Empty,Empty
VA247C0472,3600,Empty,Empty,Empty
DOLJ061A20344,1630,Empty,Empty,Empty
V600C7673,3600,Empty,Empty,Empty
VA248C1109,3600,Empty,Empty,Empty
GS04P06RAC0068JDDOOR,4740,Empty,Empty,Empty
FA309922C0008,5700,Empty,Empty,Empty
N6945023C0089,1700,Empty,Empty,Empty
N0016723C0002,1700,Empty,Empty,Empty
W917BG08C0051,2100,Empty,Empty,Empty
36C77624C0150,3600,Empty,Empty,Empty
47PM0324C0015,4740,Empty,Empty,Empty
SP470216C0006,97AS,Empty,Empty,Empty
W9126G18C0126,2100,Empty,Empty,Empty
36C24622C0042,3600,Empty,Empty,Empty
W917BG06C0120,2100,Empty,Empty,Empty
36C24418C0219,3600,Empty,Empty,Empty
FA441822C0023,5700,Empty,Empty,Empty
W912LC09C5001,2100,Empty,Empty,Empty
W91B4L10C0047,2100,Empty,Empty,Empty
W912R112C0016,2100,Empty,Empty,Empty
V636C1056,3600,Empty,Empty,Empty
F4560303C0002,5700,Empty,Empty,Empty
FA302012C0009,5700,Empty,Empty,Empty
VA24816C0136,3600,Empty,Empty,Empty
DJA09B000609,1560,Empty,Empty,Empty
W912QR15C0018,2100,Empty,Empty,Empty
47PE0119C0006,4740,Empty,Empty,Empty
INPC4526050040,1443,Empty,Empty,Empty
36C24619C0120,3600,Empty,Empty,Empty
VA261RA0844,3600,Empty,Empty,Empty
FA521520C0007,5700,Empty,Empty,Empty
47PD0220C0011,4740,Empty,Empty,Empty
36C24823C0087,3600,Empty,Empty,Empty
00648200309DV648C476,3600,Empty,Empty,Empty
N0042121C0025,1700,Empty,Empty,Empty
N3654A08C9002,1700,Empty,Empty,Empty
N6247314C3433,1700,Empty,Empty,Empty
N4008022C0012,1700,Empty,Empty,Empty
GS06P04TKC0006,4740,Empty,Empty,Empty
INPC5292089048,1443,Empty,Empty,Empty
W912QR11C0025,2100,Empty,Empty,Empty
N4008515C5018,1700,Empty,Empty,Empty
GS11P12YEC0149,4740,Empty,Empty,Empty
GS03P06QMC0084,4740,Empty,Empty,Empty
VA256C0007,3600,Empty,Empty,Empty
GS11P08MAC0099,4740,Empty,Empty,Empty
GS09P10WRC0047,4740,Empty,Empty,Empty
VA258C0598,3600,Empty,Empty,Empty
GS07P05UAC3014,4740,Empty,Empty,Empty
GS08P05JBC0089,4740,Empty,Empty,Empty
GS11P07MKC0106,4740,Empty,Empty,Empty
GS04P08RDC0022,4740,Empty,Empty,Empty
W56HZV13CL554,2100,Empty,Empty,Empty
N4008509C3210,1700,Empty,Empty,Empty
F3061703C0006,5700,Empty,Empty,Empty
TOS07041,2001,Empty,Empty,Empty
FA875119CA087,5700,Empty,Empty,Empty
W912PM17C0015,2100,Empty,Empty,Empty
YE000200309DGS11P03YEC0262,4740,Empty,Empty,Empty
36C25919C0101,3600,Empty,Empty,Empty
47PK1320C0017,4740,Empty,Empty,Empty
47PE0222C0008,4740,Empty,Empty,Empty
HHSD200200512401C,7523,Empty,Empty,Empty
VA249C0027,3600,Empty,Empty,Empty
GS11P07YTC0056,4740,Empty,Empty,Empty
GS04P14RAC0027,4740,Empty,Empty,Empty
W912DW14C0023,2100,Empty,Empty,Empty
W911SG07C0022,2100,Empty,Empty,Empty
SP470519C0013,97AS,Empty,Empty,Empty
N4008519C9053,1700,Empty,Empty,Empty
N6246704C2046,1700,Empty,Empty,Empty
47PD0418C0003,4740,Empty,Empty,Empty
N4008015C3536,1700,Empty,Empty,Empty
W912CH09CL531,2100,Empty,Empty,Empty
VA256C1276,3600,Empty,Empty,Empty
W9124Q11C0020,2100,Empty,Empty,Empty
47PJ0022C0001,4740,Empty,Empty,Empty
